,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
6,5426,Solana,SOL,solana,538,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,416722077.8411571,560555428.784264,True,,7,,,,2023-10-22T18:29:00.000Z,28.747886111624982,768601200.244906,-26.3622,-0.12046124,-2.47187942,31.4317573,48.59938012,34.42480428,22.85102502,11979878833.977304,1.0534,16114783625.94,,2023-10-22T18:29:00.000Z,,,,,,2023-10-22 18:31:33.812287
7,2010,Cardano,ADA,cardano,948,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35228606208.488,36274729240.533,False,,8,,,,2023-10-22T18:29:00.000Z,0.26070909095846473,120879054.55941834,-5.5843,0.55136544,-0.06071589,5.57130513,6.80867855,-2.56851332,-14.10642782,9184417900.348633,0.8075,11731909093.13,,2023-10-22T18:29:00.000Z,,,,,,2023-10-22 18:31:33.812287
8,74,Dogecoin,DOGE,dogecoin,811,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141519366383.7052,141519366383.7052,True,,9,,,,2023-10-22T18:29:00.000Z,0.06105337218412472,152035854.53656656,9.0154,0.11380301,-0.25806102,2.57551105,-0.65135335,-4.73048295,-18.12816687,8640234547.085861,0.7596,8640234547.09,,2023-10-22T18:29:00.000Z,,,,,,2023-10-22 18:31:33.812287
9,1958,TRON,TRX,tron,853,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88882248218.43095,88882313760.98747,True,,10,71659659264.0,6448243827.557814,,2023-10-22T18:29:00.000Z,0.0899842937265716,167306529.10057122,-6.4027,-0.17405302,-1.92205497,4.46361997,7.64050677,16.25137358,10.77684097,7998006330.765336,0.7032,7998012228.57,,2023-10-22T18:29:00.000Z,,,,,,2023-10-22 18:31:33.812287
10,11419,Toncoin,TON,toncoin,159,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,11,3414166606.0,7436169082.592392,,2023-10-22T18:29:00.000Z,2.1780334531783514,12428337.26765633,31.0421,0.06827606,2.3822358,12.74320841,-5.17791122,53.26279129,57.94817173,7474775774.53445,0.6572,10993751330.86,,2023-10-22T18:29:00.000Z,,,,,,2023-10-22 18:31:33.812287
11,3890,Polygon,MATIC,polygon,1011,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9309803040.71938,10000000000.0,False,,12,,,,2023-10-22T18:29:00.000Z,0.5871987348584807,316375209.43910223,13.3836,2.31094314,2.98694567,13.74724835,12.88751998,4.62113456,-18.99880051,5466704567.292057,0.4806,5871987348.58,,2023-10-22T18:29:00.000Z,,,,,,2023-10-22 18:31:33.812287
12,4943,Dai,DAI,multi-collateral-dai,2692,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,13,,,,2023-10-22T18:29:00.000Z,1.0000974488028478,140081425.28787002,15.8111,-0.01697572,0.01845393,-0.01034814,0.00829179,0.05556618,0.05670128,5348409741.087827,0.4702,5348409741.09,,2023-10-22T18:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-10-22 18:31:33.812287
13,1975,Chainlink,LINK,chainlink,1368,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,14,,,,2023-10-22T18:29:00.000Z,9.511989214932921,894730933.8717587,24.5322,1.04673004,5.66730624,28.56656178,39.33478858,48.97896983,26.06925073,5296750913.282622,0.4657,9511989214.93,,2023-10-22T18:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-10-22 18:31:33.812287
14,6636,Polkadot,DOT,polkadot-new,597,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1270320717.7508621,1369362335.356042,True,,15,,,,2023-10-22T18:29:00.000Z,3.89030898425096,104377025.75978312,7.8009,1.27112435,-0.95260347,3.54572173,-3.03100404,-13.41414781,-25.61188372,4941940101.146307,0.4345,5327242595.93,,2023-10-22T18:29:00.000Z,,,,,,2023-10-22 18:31:33.812287
0,1,Bitcoin,BTC,bitcoin,10496,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19521062.0,19521062.0,False,,1,,,,2023-10-22T18:31:00.000Z,29920.784018431237,10550270211.08575,-6.9605,-0.0301036,-0.52733585,10.8652996,12.60818054,12.96026361,2.97090516,584085479912.4053,51.3511,628336464387.06,,2023-10-22T18:31:00.000Z,,,,,,2023-10-22 18:32:38.334256
